,count
ncit,415
snomed,354
omit,102
gsso,54
efo,48
ncbitaxon,31
mondo,31
afo,28
doid,27
pr,25
dicom,21
genepio,17
apollo_sv,15
cmo,15
pato,15
envo,13
ohmi,12
vo,12
ecto,11
chebi,10
scdo,10
aro,10
cido,9
hba,8
edam,8
addicto,8
go,8
eupath,8
occo,8
sio,7
opmi,7
stato,7
rbo,7
exo,7
oae,6
schemaorg_https,6
schemaorg_http,6
flopo,6
lifestylefactors,6
bcio,6
mp,6
pride,6
ogg,6
foodon,6
maxo,6
bao,6
enm,5
t4fs,5
chmo,5
bto,5
omrse,5
ohd,5
nbo,5
uberon,4
mi,4
reproduceme,4
mod,4
apo,4
hp,4
hso,4
xco,4
idocovid19,4
obib,4
ordo,4
fbbt,3
symp,3
peco,3
obcs,3
fobi,3
mpath,3
txpo,3
vbo,3
clo,3
ons,3
pco,3
ngbo,3
ma,2
oba,2
uniprotrdfs,2
dpo,2
one,2
owl,2
to,2
ino,2
mco,2
biolink,2
emapa,2
upheno,2
dron,2
ms,2
zfa,1
zeco,1
cpont,1
iao,1
xlmod,1
swo,1
tgma,1
ogms,1
hra,1
om,1
ro,1
obi,1
slso,1
fbcv,1
cao,1
covoc,1
mpio,1
clao,1
ecocore,1
wbphenotype,1
ecao,1
cl,1
aism,1
oostt,1
ado,1
vt,1
miapa,1
ido,1
psdo,1
uo,1
gaz,1
tto,1
vto,1
ontoavida,1
msio,1
plana,1
mfoem,1
epio,1
pcl,1
hsapdv,1
micro,1
gecko,1
